Input.professor,Input.university,Answer.Bachelors,Answer.Doctorate,Answer.JoinYear,Answer.Masters,Answer.PostDoc,Answer.Rank,Answer.Subfield,Answer.URLs
abraham (ibrahim) matta,Boston University,"Alexandria University, Egypt",University of Maryland at College Park,2012,"Alexandria University, Egypt",,Full,Networks & Communications,http://www.cs.bu.edu/fac/matta/
adam klivans,University of Texas-Austin,,"Massachusetts Institute of Technology (MIT),",,,Harvard,Associate,Artificial Intelligence,http://www.cs.utexas.edu/faculty/klivans ; http://www.cs.utexas.edu/~klivans/
ali farhadi,University of Washington,,University of Illinois at Urbana,,,,Assistant,Computer Education,http://www.cs.washington.edu/people/faculty/ali/
alison n. norman,University of Texas-Austin,Georgia Tech,,,,,Lecturer,Computer Education,http://www.cs.utexas.edu/~ans/
aloysius k. mok,University of Texas-Austin,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,Massachusetts Institute of Technology,,Full,Algorithms & Theory,https://www.cs.utexas.edu/faculty/mok
alvin r. lebeck,Duke University,University of Wisconsin-Madison,University of Wisconsin-Madison,,University of Wisconsin-Madison,,Full,Hardware & Architecture,http://www.cs.duke.edu/people/faculty/?csid=22
andrew hilton,Duke University,,,,,,Assistant,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=3797
andrew i. case,New York University,University of Alabama in Huntsville,,2013,New York University,,Assistant,Computer Education,http://cs.nyu.edu/~acase/
anup rao,University of Washington,GEORGIA INSTITUTE OF TECHNOLOGY,UNIVERSITY OF TEXAS AT AUSTIN,2010,,,Assistant,Computer Education,http://www.cs.washington.edu/people/faculty/anuprao
assaf j. kfoury,Boston University,,,,,,Full,Programming Languages,http://www.cs.bu.edu/fac/kfoury/
azer bestavros,Boston University,Alexandria University,Harvard University,2010,"Alexandria University,",,Full,Computer Education,http://www.cs.bu.edu/~best/ResumeShort.pdf
barbara mones,University of Washington,,Rhode Island School of Design,2003,Sheridan College,,Associate,Multimedia,http://www.cs.washington.edu/people/faculty/mones http://homes.cs.washington.edu/~mones/biography.html
bhubaneswar mishra,New York University,ECE from IIT (Kgp),"CMU,",N/A,"CMU,",,Adjunct,Computer Education,
brent waters,University of Texas-Austin,,,,,,Associate,Security & Privacy,http://www.cs.utexas.edu/~bwaters/
brian curless,University of Washington,"University of Texas, Austin",Stanford University,2010,Stanford University,,Full,Graphics,http://homes.cs.washington.edu/~curless/curless_cv.pdf
bruce maggs,Duke University,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,Massachusetts Institute of Technology,,Full,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=2044
c. greg plaxton,University of Texas-Austin,University of Toronto,Stanford University,,,,Full,Algorithms & Theory,
calvin lin,University of Texas-Austin,,,,,,Full,Programming Languages,http://www.cs.utexas.edu/faculty/lin
carla schlatter ellis,Duke University,University of Toledo,University of Washington,,University of Washington,,Full,Operating Systems,http://www.cs.duke.edu/people/faculty/?csid=16
chee k. yap,New York University,MIT,Yale University,1981,,,Full,Algorithms & Theory,http://cs.nyu.edu/cs/faculty/yap/
chris dwyer,Duke University,Stanford University,"University of California, Berkeley",,Stanford University,,Assistant,Artificial Intelligence,http://www.cs.duke.edu/people/faculty/?csid=3938
christoph bregler,New York University,"University of Karlsruhe, Germany","University of California, Berkeley",2002,"University of California, Berkeley",,Full,Multimedia,http://cims.nyu.edu/~bregler/bregler-CV.pdf
clark w. barrett,New York University,,,,,,Associate,Computer Education,http://www.cs.nyu.edu/~barrett/
craig kapp,New York University,,,,,,Assistant,Algorithms & Theory,http://cims.nyu.edu/~kapp/
dan suciu,University of Washington,University of Bucharest,University of Pennsylvania,2000,,,Full,Databases,http://www.cs.washington.edu/people/faculty/suciu
dana ballard,University of Texas-Austin,Massachusetts Inst. of Technology,"Information Engineering, U. California at Irvine",2012,"Information & Control Engineering, Michigan",,Full,Computer Education,http://www.cs.utexas.edu/~dana/Dana_New_CV.pdf
daniel j. sorin,Duke University,Duke University,University of Wisconsin-Madison,,University of Wisconsin-Madison,,Associate,Hardware & Architecture,http://www.cs.duke.edu/people/faculty/?csid=1280
david sontag,New York University,UC Berkeley,MIT,,,Microsoft Research New England,Assistant,Computer Education,
debmalya panigrahi,Duke University,Jadavpur University,Massachusetts Institute of Technology (MIT),,Indian Institute of Science,,Assistant,Algorithms & Theory,http://www.cs.duke.edu/people/faculty/?csid=3929
denis zorin,New York University,,,,,,Full,Scientific Computing,http://mrl.nyu.edu/~dzorin/
dieter fox,University of Washington,"University of Bonn,","University of Bonn,",2013,"University of Bonn,",,Full,Algorithms & Theory,http://www.cs.washington.edu/people/faculty/fox/cv/
donald j. rose,Duke University,University of California-Berkeley,Harvard University,,Harvard University,,Full,Scientific Computing,http://www.cs.duke.edu/~djr/
donald s. fussell,University of Texas-Austin,Dartmouth College,University of Texas at Dallas,can't find,University of Texas at Dallas,,Full,Graphics,
donald w. loveland,Duke University,Oberlin College,New York University,,Massachusetts Institute of Technology (MIT),,Full,Artificial Intelligence,http://www.cs.duke.edu/~dwl/
dr suresh manandhar,New York University,University of Edinburgh,University of Edinburgh,1996,University of Edinburgh,University of Edinburgh,Lecturer,Natural Language & Speech,https://pure.york.ac.uk/portal/en/researchers/suresh-kumar-manandhar(8203db62-862a-47f3-9507-71cba0d699a0)/publications.html
e. allen emerson,University of Texas-Austin,"University of Texas, Austin",Harvard University.,,,,Full,Algorithms & Theory,http://www.cs.utexas.edu/users/emerson/
ed lazowska,University of Washington,Brown University,University of Toronto,,,,Adjunct,Computer Education,http://www.cs.washington.edu/people/faculty/lazowska/
emanuel todorov,University of Washington,,,,,,Assistant,Bioinformatics & Computational Biology,http://homes.cs.washington.edu/~todorov/
emmett witchel,University of Texas-Austin,,,,,,Associate,Operating Systems,http://www.cs.utexas.edu/faculty/witchel
eran fishler,New York University,,,,,,,Algorithms & Theory,http://cs.nyu.edu/~fishler/
eric koskinen,New York University,"College of William & Mary, 2001","University of Cambridge, 2012.",2012,"Brown University, 2008.","University of Cambridge, 2012.",Visiting,Computer Vision,
eric price,University of Texas-Austin,,,,,,Assistant,Computer Education,
ernest davis,New York University,MIT,Yale University,1983,N/A,N/A,Full,Artificial Intelligence,http://cs.nyu.edu/cs/faculty/davise/vita.pdf
evan korth,New York University,Courant Institute of Mathematical Sciences at NYU,,2013,,,Full,Computer Education,http://cs.nyu.edu/~korth/compsoc/index.html
gaetano borriello,University of Washington,Polytechnic Institute of New York,University of California at Berkeley,1988,Stanford University,,Full,Networks & Communications,http://www.cs.washington.edu/people/faculty/gaetano
george kollios,Boston University,"national technical university, Athens Greece",Polytechnic university,2000,"national technical university, Athens Greece",,Associate,Databases,http://www.cs.bu.edu/fac/gkollios/bio.html
greg plaxton,University of Texas-Austin,Purdue University,Purdue University,,Purdue University,,Full,Networks & Communications,http://faculty.poly.edu/~tsr/bio.php
guillermo sapiro,Duke University,,,,Israel Institute Of Technology,,Full,Algorithms & Theory,http://www.cs.duke.edu/people/faculty/?csid=3922
helen nissenbaum,New York University,1975-1976,1983,2001,1978,,Full,Natural Language & Speech,http://www.nyu.edu/projects/nissenbaum/main_cv.html
hellmut golde,University of Washington,,,,,,Full,Computer Education,http://www.cs.washington.edu/node/7907/
henry m. levy,University of Washington,,,,,,Other,Computer Education,http://www.cs.washington.edu/people/faculty/levy/
herbert edelsbrunner,Duke University,,"Graz University of Technology, Austria,",,"Graz University of Technology, Austria,",,Adjunct,Algorithms & Theory,http://www.cs.duke.edu/people/faculty/?csid=436
I__l Dillig,University of Texas-Austin,Stanford University,Stanford University,2014,Stanford University,,Assistant,Programming Languages,http://www.cs.utexas.edu/~isil/
ilia baldine,Duke University,Illinois Institute of Technology,"North Carolina State University,",,North Carolina State University,,Adjunct,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=3567
ira kemelmacher-shlizerman,University of Washington,,Weizmann Institute of Science,2012,,University of Washington,Assistant,Computer Vision,http://homes.cs.washington.edu/~kemelmi/
isil dillig,University of Texas-Austin,Stanford University,Stanford University,,Stanford University,,Assistant,Computer Education,http://www.cs.utexas.edu/~isil/
j strother moore,University of Texas-Austin,"Massachusetts Institute of Technology,",University of Edinburgh,1997,,,Full,Computer Education,http://www.cs.utexas.edu/~moore/resume.pdf
james c. browne,University of Texas-Austin,BA,PhD,1960,-,University of Texas at Austin,Full,Distributed & Parallel Computing,
james landay,University of Washington,B.S. in EECS from UC Berkeley,Ph.D. in CS from Carnegie Mellon University,2013,M.S. from Carnegie Mellon University,,Full,Computer Education,http://homes.cs.washington.edu/~landay/research/cv.pdf
james lee,University of Washington,,Berkeley,,,Institute for Advanced Study in Princeton.,Associate,Algorithms & Theory,http://www.cs.washington.edu/people/faculty/jrl
jean-loup baer,University of Washington,,,1969,,,Full,Computer Education,http://homes.cs.washington.edu/~baer/
jeffrey heer,University of Washington,"University of California, Berkeley","University of California, Berkeley",2009,"University of California, Berkeley",,Full,Data Mining,
jeffrey r. n. forbes,Duke University,Stanford University,University of California-Berkeley,2001,None,n/a,Associate,Computer Education,http://www.cs.duke.edu/~forbes/
jeffrey s. chase,Duke University,Dartmouth College,"University of Washington, Seattle",2006,"University of Washington, Seattle",N/A,Full,Operating Systems,http://www.cs.duke.edu/~chase/cv.pdf
jiawei zhang,New York University,New York University,New York University,2006,New York University,,Associate,Human-Computer Interaction,scholar.google.co.in/citations?user=zK4uegoAAAAJ&hl=en
jinyang li,New York University,N ATIONAL U NIVERSITY OF S INGAPORE,M ASSACHUSETTS I NSTITUTE OF T ECHNOLOGY,2012,,,Associate,Computer Education,http://www.news.cs.nyu.edu/~jinyang/cv.pdf
joanna klukowska,New York University,"Hunter College of CUNY,","Graduate Center of CUNY,",2013,Brooklyn College of CUNY,,Adjunct,Computer Education,http://cs.nyu.edu/~joannakl/
joel spencer,New York University,"Massachusetts Institute of Technology,",Harvard University,2014,Harvard University,,Full,Computer Education,http://cs.nyu.edu/cs/faculty/spencer/papers/vitashort.pdf
john a. board jr.,Duke University,Duke University,Oxford university,,Duke University,,Associate,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=14
john byers,Boston University,Cornell University,University of California at Berkeley,1999,,,Associate,Algorithms & Theory,http://www.cs.bu.edu/fac/byers/cv.pdf
john harer,Duke University,BA,PhD,University of California,MS,MATH,Full,Algorithms & Theory,http://fds.duke.edu/db/aas/math/faculty/john.harer
john zahorjan,University of Washington,Brown University,University of Toronto,,,,Full,Algorithms & Theory,
jonathan appavoo,Boston University,McMaster University,University of Toronto,2009,University of Toronto,,Assistant,Computer Education,http://www.cs.bu.edu/~jappavoo/Resources/Docs/shortcv.pdf
joshua clayton,New York University,Western Michigan University,,,New York University,,Assistant,Multimedia,"http://cs.nyu.edu/cs/faculty/clayton/about/, http://cs.nyu.edu/cs/faculty/clayton/"
juliana freire,New York University,Universidade Federal do Cear ÌÅ a,State University of New York at Stony Brook,2014,State University of New York at Stony Brook,,Full,Computer Education,http://vgc.poly.edu/~juliana/vitae-short.pdf
jungsang kim,Duke University,Seoul National University,Stanford University,,,,Associate,Real-Time & Embedded Systems,http://fds.duke.edu/db/pratt/ECE/jungsang
kamesh munagala,Duke University,Indian Institute of Technology Bombay,Stanford University,2004,Stanford University,Stanford University School of Medicine,Associate,Algorithms & Theory,http://www.cs.duke.edu/~kamesh/
katherine heller,Duke University,SUNY at Stony Brook,University College of London,,SUNY at Stony Brook,Massachussetts Institute of Technology,Assistant,Computer Education,http://www.stat.duke.edu/~kheller/cv.pdf
kenneth perlin,New York University,,,,,,Full,Computer Education,http://mrl.nyu.edu/~perlin/
keshav pingali,University of Texas-Austin,"Indian Institute of Technology, Kanpur","Massachusetts Institute of Technology, Cambridge",,"Massachusetts Institute of Technology, Cambridge",,Full,Programming Languages,http://www.cs.utexas.edu/~pingali/
kishor s. trivedi,Duke University,"B.Tech., Indian Institute of Technology, Bombay","Ph.D., University of Illinois at Urbana-Champaign, 1974",1975,"M.S., University of Illinois at Urbana-Champaign, 1972",,Full,Algorithms & Theory,http://www.cs.duke.edu/people/faculty/?csid=36
krishnendu chakrabarty,Duke University,,,,,,,Algorithms & Theory,http://www.cs.duke.edu/people/faculty/?csid=3895
lakshminarayanan subramanian,New York University,University of California at Berkeley,University of California at Berkeley,2012,University of California at Berkeley,"ndian Institute of Technology, Madras",Associate,Networks & Communications,http://cs.nyu.edu/~lakshmi/Lakshmi/Home.html
landon cox,Duke University,Duke University,University of Michigan,,,,Assistant,Security & Privacy,
larry ruzzo,University of Washington,B.S. (in Mathematics) from the California Institute of Technology,Ph.D. (Computer Science) from the University of California at Berkeley,1977,,,Full,Bioinformatics & Computational Biology,http://homes.cs.washington.edu/~ruzzo/
lars arge,Duke University,"University of Aarhus, Denmark","University of Aarhus, Denmark",,"University of Aarhus, Denmark",,Full,Algorithms & Theory,http://www.madalgo.au.dk/~large/cv.pdf
leonid reyzin,Boston University,,,,,,Associate,Graphics,http://www.cs.bu.edu/fac/reyzin/
linda shapiro,University of Washington,University of Illinois,University of Iowa,1986,University of Iowa,,Full,Artificial Intelligence,http://homes.cs.washington.edu/~shapiro/biography.html
lisa r. hsu,Duke University,Princeton University,"University of Michigan, Ann Arbor",,"University of Michigan, Ann Arbor",,Assistant,Hardware & Architecture,http://www.cs.duke.edu/people/faculty/?csid=4396
luis ceze,University of Washington,"University of SÃ£o Paulo,",University of Illinois,2007,"University of SÃ£o Paulo,",,Associate,Hardware & Architecture,http://www.cs.washington.edu/people/faculty/luisceze
luke zettlemoyer,University of Washington,,MIT,,,University of Edinburgh,Assistant,Algorithms & Theory,http://www.cs.washington.edu/people/faculty/lsz
magdalena balazinska,University of Washington,,MIT,,,,Associate,Databases,
margaret h. wright,New York University,,,,,,,Scientific Computing,http://cs.nyu.edu/mhw/
mark oskin,University of Washington,,,,,,,Algorithms & Theory,http://www.cs.washington.edu/people/faculty/oskin/
martin davis,New York University,,,,,,Full,Computer Education,
matt reynolds,University of Washington,Massachusetts Institute of Technology,Massachusetts Institute of Technology,2012,Massachusetts Institute of Technology,,Assistant,Computer Education,http://fds.duke.edu/db/pratt/ECE/matt.reynolds
mauro maggioni,Duke University,,"Washington University,",2012,Universitaâ€™ di Milano,,Full,Computer Education,http://www.math.duke.edu/~mauro/MyCV.pdf
merrell patrick,Duke University,,,,,,Full,Computer Education,
michael d. dahlin,University of Texas-Austin,,University of California at Berkeley,1996,,,Full,Operating Systems,http://www.cs.utexas.edu/users/dahlin/
michael overton,New York University,"University of British Columbia,BSc",Stanford University,1979,"Stanford University,MS",,Associate,Computer Vision,"http://www.linkedin.com/pub/dir/Michael/Overton,   scholar.google.com/citations?user=q6LXYtUAAAAJ&hl=en"
michael walfish,New York University,Harvard University,Massachusetts Institute of Technology,2013,,,Associate,Computer Education,http://www.cs.utexas.edu/~mwalfish/bio.html http://www.cs.utexas.edu/~mwalfish/
mike scott,University of Texas-Austin,Stanford University,,2007,Rennselaer Polytechnic Institute,,Lecturer,Computer Education,http://www.cs.utexas.edu/~scottm/cv.pdf
mohamed g. gouda,University of Texas-Austin,Cairo University,University of Waterloo,1980,York University,,Full,Operating Systems,http://www.cs.utexas.edu/~gouda/resume.pdf
mohamed zahran,New York University,Cairo University,University of Maryland at College Park,2010,Cairo University,,Associate,Hardware & Architecture,http://www.mzahran.com/cv.pdf
nick pears,New York University,Durham University,Durham University,,,Oxford University,Lecturer,Computer Vision,
olof widlund,New York University,,,,,,Full,Algorithms & Theory,http://cs.nyu.edu/cs/faculty/widlund/
oren etzioni,University of Washington,Harvard University,Carnegie Mellon University,1991,,,Full,Computer Education,http://homes.cs.washington.edu/~etzioni/bio.html
owen astrachan,Duke University,Dartmouth College,Duke University,2000,Duke University,,Full,Computer Education,http://www.cs.duke.edu/~ola/olavita.pdf
panayotis mavromatis,New York University,Cambridge University in England,Eastman School of Music,,Boston University,,Associate,Multimedia,http://steinhardt.nyu.edu/faculty_bios/view/Panayotis_Mavromatis
pankaj k. agarwal,Duke University,University of Roorkee,Courant Institute of Mathematical Sciences,2002,University of California-Santa Barbara,,Full,Algorithms & Theory,http://www.cs.duke.edu/people/faculty/?csid=8
peter stone,University of Texas-Austin,"The University of Chicago ,",Carnegie Mellon University,2012,Carnegie Mellon University,,Full,Computer Education,http://www.cs.utexas.edu/~pstone/cv/cv.pdf
philip cannata,University of Texas-Austin,University of Notre Dame,University of Notre Dame,,,,Adjunct,Software Engineering,http://www.cs.utexas.edu/users/cannata/
prof nc audsley,New York University,,,,,,Full,Real-Time & Embedded Systems,
rachael brady,Duke University,Macalester College,,,University of California,,Other,Algorithms & Theory,http://www.cs.duke.edu/~rbrady
ralph grishman,New York University,Columbia College,Columbia University,1983,Columbia University,,Full,Algorithms & Theory,http://cs.nyu.edu/grishman/cv.html
raluca-mihaela gordan,Duke University,N/A,Duke University,2011,N/A,Harvard Medical School,Assistant,Bioinformatics & Computational Biology,http://www.cs.duke.edu/people/faculty/?csid=1579
raymond j. mooney,University of Texas-Austin,University of Illinois at Urbana/Champaign,University of Illinois at Urbana/Champaign,1987,University of Illinois at Urbana/Champaign,,Full,Artificial Intelligence,http://www.cs.utexas.edu/~mooney/
richard anderson,University of Washington,Reed Universtiy,Stanford University,1986,Reed Universtiy,Mathematical sciences Research Institute,Full,Computer Education,http://www.cs.washington.edu/people/faculty/anderson
richard bonneau,New York University,"Florida State University,",University of Washington,2006,,,Assistant,Bioinformatics & Computational Biology,http://bonneaulab.bio.nyu.edu/files/bonneau-extendedCV_5.pdf
richard cole,New York University,"University College, Oxford,",Cornell University,2011,,,Full,Algorithms & Theory,http://cs.nyu.edu/cs/faculty/cole/index.html#CP
richard e. ladner,University of Washington,St. Mary's College of California,University of California,1971,,na,Full,Computer Education,http://www.cs.washington.edu/people/faculty/ladner/
richard west,Boston University,University of Newcastle-upon-Tyne,"Georgia Institute of Technology, Atlanta, Georgia.",6-Sep,"Georgia Institute of Technology, Atlanta, Georgia.",,Associate,Real-Time & Embedded Systems,http://www.cs.bu.edu/fac/richwest/vita.html
rob fergus,New York University,University of Cambridge,University of Oxford,2007,"California Institute of Technology, Pasadena",,Associate,Computer Vision,http://www.cs.nyu.edu/~fergus/cv.pdf
robert a. van de geijn,University of Texas-Austin,University of Wisconsin-Madison,"University of Maryland, College Park",1987,,,Full,Distributed & Parallel Computing,http://www.cs.utexas.edu/~rvdg/vita.pdf
robert a. wagner,Duke University,Massachusetts Institute of Technology,Carnegie-Mellon University,2006,Carnegie-Mellon University,,Full,Computer Education,http://www.cs.duke.edu/~raw/
robert calderbank,Duke University,Warwick University,California Institute of Technology,,Oxford University,,Full,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=3565
robert fowler,Duke University,Harvard College,University of Washington,,University of Washington,,Adjunct,"Computer Education, Software Engineering",http://www.cs.duke.edu/people/faculty/?csid=3570
robert grimm,New York University,Massachusetts Institute of Technology (MIT),University of Washington,2002,Massachusetts Institute of Technology (MIT) and University of Washington,,Associate,Programming Languages,http://cs.nyu.edu/~rgrimm/
robert l. bryant,Duke University,,,,,,Full,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=4408
robert s. boyer,University of Texas-Austin,,,1981,,,Other,Algorithms & Theory,http://www.cs.utexas.edu/~boyer/employment.html
romit roy choudhury,Duke University,Haldia Institute of Technology,University of Illinois at Urbana-Champaign,,University of Illinois at Urbana-Champaign,,Assistant,Hardware & Architecture,http://www.ece.illinois.edu/directory/profile.asp?croy http://www.cs.duke.edu/people/faculty/?csid=1690
ronald e. parr,Duke University,Princeton University,University of California,2013,,,Full,Artificial Intelligence,
sang (peter) chin,Boston University,Duke University,M.I.T,,M.I.T,,Full,Computer Education,http://www.cs.bu.edu/faculty/spchin/About_Me.html
satoshi sekine,New York University,,,,,,Associate,Programming Languages,http://nlp.cs.nyu.edu/sekine/
savan mukherjee,Duke University,,,,,,Associate,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=1606
shayan oveis gharan,University of Washington,,,Huang Engineering Center,,,Other,Software Engineering,http://www.stanford.edu/search/?cx=003265255082301896483%3Asq5n7qoyfh8&cof=FORID%3A9&ie=UTF-8&q=shayan+oveis+gharan&sa=Search
shivnath babu,Duke University,2008,Stanford University,2011,Institute of Technology Madras,2011,Assistant,Computer Education,http://www.cs.duke.edu/~shivnath/publications.html
simon s. lam,University of Texas-Austin,Washington State University,"University of California, Los Angeles",1977,"University of California, Los Angeles",,Full,Operating Systems,http://www.cs.utexas.edu/faculty/lam
stan sclaroff,Boston University,Tufts University,"Massachusetts Institute of Technology (MIT),",2007,Massachusetts Institute of Technology (MIT),,Full,Human-Computer Interaction,http://www.cs.bu.edu/fac/sclaroff/
stephen w. keckler,University of Texas-Austin,Stanford University,Massachusetts Institute of Technology (MIT),,Massachusetts Institute of Technology (MIT),,Adjunct,Computer Education,http://www.cs.utexas.edu/~skeckler/
steve gribble,University of Washington,University of British Columbia,UC Berkeley.,2000,UC Berkeley.,,Full,Computer Education,http://homes.cs.washington.edu/~gribble/biography.html
steve homer,Boston University,,M.I.T,1982,,,Full,Computer Education,http://www.cs.bu.edu/faculty/homer/shortbio.html
steven seitz,University of Washington,University of California,University of Wisconsin,2000,,,Full,Graphics,http://www.cs.washington.edu/people/faculty/seitz
subhash khot,New York University,Indian Institute of Technology Bombay,Princeton CS Department,2008,none,,Associate,Algorithms & Theory,http://cs.nyu.edu/~khot/publications.html http://en.wikipedia.org/wiki/Subhash_Khot
susan worst,Boston University,Washington University,,2010,Northwestern University,,Lecturer,Computer Education,
tabitha peck,Duke University,"Carnegie Mellon University. Pittsburgh, PA",The University of North Carolina,2012,The University of Barcelona,The University of Barcelona,Visiting,Computer Education,http://www.cs.duke.edu/~tpeck/ http://www.cs.duke.edu/people/faculty/?csid=3925
tamar schlick,New York University,,Wayne State University,,"Courant Institute, NYU",,Full,Computer Education,
tandy warnow,University of Texas-Austin,,,,,,Full,Bioinformatics & Computational Biology,http://www.cs.utexas.edu/~tandy/
theo benson,Duke University,Tufts University,"University of Wisconsin, Madison",2013,"University of Wisconsin, Madison",,Assistant,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=3930
thomas moelhave,Duke University,Duke University,Duke University,2009,Duke University,,Other,Computer Vision,www.cs.duke.edu/research/profiles/
thomas wies,New York University,,"University of Freiburg, Freiburg, Germany",2011,"Saarland University, Saarbrucken, Germany","Ecole Polytechnique Federale de Lausanne, Switzerland; Institute of Science and Technology, Klosterneuburg, Austria",Assistant,Software Engineering,http://cs.nyu.edu/wies/cv_wies.pdf
tom anderson,University of Washington,Harvard University,University of Washington.,2009,", University of Washington.",,Full,Operating Systems,http://homes.cs.washington.edu/~tom/cv.pdf
tom daniel,University of Washington,,Duke university,1984,,,Full,Bioinformatics & Computational Biology,http://www.cs.washington.edu/people/faculty/danielt
vijaya ramachandran,University of Texas-Austin,,Princeton University,,,,Full,Algorithms & Theory,http://www.cs.utexas.edu/faculty/ramachandran
vincent conitzer,Duke University,,Carnegie Mellon University,,Carnegie Mellon University,,Full,Artificial Intelligence,http://www.cs.duke.edu/people/faculty/?csid=1612
warren a. hunt jr.,University of Texas-Austin,,,,,,Full,Software Engineering,http://www.cs.utexas.edu/~hunt/
wayne snyder,Boston University,,"University of Pennsylvania,",2010,Dickinson College,,Associate,Computer Education,http://www.cs.bu.edu/fac/snyder/personal.html
william d. (bill) young,University of Texas-Austin,University of Texas at Austin,University of Texas at Austin,2001,University of Texas at Austin,,Lecturer,Security & Privacy,
william h. press,University of Texas-Austin,Harvard College,California Insitute of Technology,2007,California Insitute of Technology,,Full,Bioinformatics & Computational Biology,http://nr.com/whp/background.html
william r. cook,University of Texas-Austin,Tulane University,Brown University,2010,Brown University,,Associate,Computer Education,http://www.cs.utexas.edu/~wcook/Vita/WCook_Vita.pdf
xiaobai sun,Duke University,,University of Maryland at College Park,,"Academia Sinica, Beijing, China",,Full,Scientific Computing,http://www.cs.duke.edu/people/faculty/?csid=37
xiaowei yang,Duke University,"Tsinghua University, Beijing, China",Massachusetts Institute of Technology (MIT),,Massachusetts Institute of Technology (MIT),,Assistant,Networks & Communications,http://www.cs.duke.edu/people/faculty/?csid=2164
yin zhang,University of Texas-Austin,CORNELL UNIVERSITY,CORNELL UNIVERSITY,2000,CORNELL UNIVERSITY,,Associate,Computer Vision,http://www.caam.rice.edu/~yzhang/
zachary tatlock,University of Washington,Perdue,"University of California, San Diego",2013,,University of Washington,Assistant,Scientific Computing,http://www.linkedin.com/pub/zachary-tatlock/63/66/522
zoran popovic,University of Washington,Brown University,Carnegie Mellon University,1999,Carnegie Mellon University,,Full,Graphics,http://homes.cs.washington.edu/~zoran/
zvi kedem,New York University,the Technion â€“ Israel Institute of Technology,the Technion â€“ Israel Institute of Technology,1984,,MIT,Full,Scientific Computing,http://www.linkedin.com/in/zvikedem